<date>,<open>,<high>,<low>,<close>,<vol>
05.25.2009,2.1011208191322802416925314497056073265,2.1011208191322802416925314497056073265,2.1011208191322802416925314497056073265,2.1011208191322802416925314497056073265,201472822.85,
05.26.2009,1.6251631713403300377181502332702526421,1.6251631713403300377181502332702526421,1.6251631713403300377181502332702526421,1.6251631713403300377181502332702526421,124406665.16,
05.27.2009,1.0576365282817785677497062082969481894,1.0576365282817785677497062082969481894,1.0576365282817785677497062082969481894,1.0576365282817785677497062082969481894,196776347.59,
05.28.2009,.77276354213155967014540968853099098217,.77276354213155967014540968853099098217,.77276354213155967014540968853099098217,.77276354213155967014540968853099098217,155209876.44,
05.29.2009,.46150804838301430817614889956758160919,.46150804838301430817614889956758160919,.46150804838301430817614889956758160919,.46150804838301430817614889956758160919,172347883.03,
06.01.2009,1.2374767180122888487137939249734712416,1.2374767180122888487137939249734712416,1.2374767180122888487137939249734712416,1.2374767180122888487137939249734712416,149374421.48,
06.02.2009,1.1861744603115023321326482181846346118,1.1861744603115023321326482181846346118,1.1861744603115023321326482181846346118,1.1861744603115023321326482181846346118,81775362.57,
06.03.2009,1.2934923678274229103167925548424889831,1.2934923678274229103167925548424889831,1.2934923678274229103167925548424889831,1.2934923678274229103167925548424889831,122958829.64,
06.04.2009,1.1341036628329804161343038440883612406,1.1341036628329804161343038440883612406,1.1341036628329804161343038440883612406,1.1341036628329804161343038440883612406,118703545.69,
06.05.2009,.93262697896079178276874947164485524,.93262697896079178276874947164485524,.93262697896079178276874947164485524,.93262697896079178276874947164485524,114468259.69,
06.08.2009,.68476950258592599473913959055143820501,.68476950258592599473913959055143820501,.68476950258592599473913959055143820501,.68476950258592599473913959055143820501,149109534.59,
06.09.2009,1.2110511208106525803499330620003590462,1.2110511208106525803499330620003590462,1.2110511208106525803499330620003590462,1.2110511208106525803499330620003590462,138722694.14,
06.10.2009,1.5387090382569453155437840328860703405,1.5387090382569453155437840328860703405,1.5387090382569453155437840328860703405,1.5387090382569453155437840328860703405,158483737.98,
06.11.2009,1.8310535351210989443647829622680315441,1.8310535351210989443647829622680315441,1.8310535351210989443647829622680315441,1.8310535351210989443647829622680315441,168681563.46,
06.12.2009,1.1987073797211342076881098929311030784,1.1987073797211342076881098929311030784,1.1987073797211342076881098929311030784,1.1987073797211342076881098929311030784,181789262.13,
